Report_Year,Comm_Dist_ Boro,Comm_District,FAM_DIR,FAM_Fel_Assault ,DV_Fel_Assault ,FAM_Rape ,DV_Rape 
2018,Bronx,1,2462,101,268,9,16
2018,Bronx,2,914,32,107,6,13
2018,Bronx,3,3271,84,230,3,11
2018,Bronx,4,2466,82,221,11,20
2018,Bronx,5,2679,89,254,5,12
2018,Bronx,6,1519,66,166,8,12
2018,Bronx,7,1585,65,234,6,9
2018,Bronx,8,746,30,66,2,5
2018,Bronx,9,2972,114,325,6,16
2018,Bronx,10,1266,52,126,3,7
2018,Bronx,11,1061,58,149,4,10
2018,Bronx,12,2375,137,356,7,18
2018,Bronx,BXJIA,7,0,1,0,0
2018,Bronx,Unknown,8,0,0,0,0
2018,Bronx,Total,23331,910,2503,70,149
2018,Brooklyn,1,1213,55,129,4,10
2018,Brooklyn,2,1045,37,83,10,12
2018,Brooklyn,3,2773,114,244,5,16
2018,Brooklyn,4,1232,55,134,8,14
2018,Brooklyn,5,3475,140,429,13,30
2018,Brooklyn,6,920,35,69,4,7
2018,Brooklyn,7,498,29,74,9,18
2018,Brooklyn,8,1491,52,128,4,12
2018,Brooklyn,9,1072,49,120,0,2
2018,Brooklyn,10,365,17,66,2,4
2018,Brooklyn,11,795,24,76,4,10
2018,Brooklyn,12,554,27,50,2,6
2018,Brooklyn,13,1336,46,110,3,9
2018,Brooklyn,14,1166,35,96,4,10
2018,Brooklyn,15,905,31,86,1,6
2018,Brooklyn,16,2878,88,236,10,19
2018,Brooklyn,17,1827,110,271,9,17
2018,Brooklyn,18,2219,86,183,5,9
2018,Brooklyn,BKJIA,18,1,4,0,1
2018,Brooklyn,Unknown,6,0,0,0,0
2018,Bronx,Total,25788,1031,2588,97,212
2018,Manhattan,1,121,2,18,0,0
2018,Manhattan,2,159,4,19,0,0
2018,Manhattan,3,1497,51,123,3,18
2018,Manhattan,4,568,7,58,2,10
2018,Manhattan,5,251,9,38,1,5
2018,Manhattan,6,322,11,32,0,2
2018,Manhattan,7,1066,26,71,2,7
2018,Manhattan,8,404,12,54,1,1
2018,Manhattan,9,1394,38,103,1,7
2018,Manhattan,10,3092,71,191,3,13
2018,Manhattan,11,2880,78,219,8,16
2018,Manhattan,12,1591,55,164,9,23
2018,Manhattan,MNJIA,3,0,0,0,0
2018,Manhattan,Unknown,3,0,0,0,0
2018,Manhattan,Total,13351,364,1090,30,102
2018,Queens,1,1500,58,141,4,15
2018,Queens,2,492,12,46,2,5
2018,Queens,3,1180,68,179,10,26
2018,Queens,4,893,35,136,10,22
2018,Queens,5,748,38,95,7,10
2018,Queens,6,329,9,24,2,7
2018,Queens,7,838,39,80,1,7
2018,Queens,8,960,32,68,4,13
2018,Queens,9,1243,37,85,2,9
2018,Queens,10,1214,45,116,1,11
2018,Queens,11,362,15,36,2,3
2018,Queens,12,3284,180,414,11,27
2018,Queens,13,1550,95,215,0,7
2018,Queens,14,1949,86,219,8,17
2018,Queens,QNJIA,4,2,2,0,0
2018,Queens,Unknown,36,0,0,0,0
2018,Queens,Total,16582,751,1856,64,179
2018,Staten Island,1,2923,61,173,12,27
2018,Staten Island,2,901,23,50,1,6
2018,Staten Island,3,785,15,37,1,4
2018,Staten Island,SIJIA,1,0,0,0,0
2018,Staten Island,Unknown,0,0,0,0,0
2018,Staten Island,Total,4610,99,260,14,37
2017,Bronx,1,2459,109,299,7,17
2017,Bronx,2,1131,40,106,4,9
2017,Bronx,3,2833,65,190,3,10
2017,Bronx,4,2337,87,206,6,10
2017,Bronx,5,2247,73,244,5,14
2017,Bronx,6,1442,58,179,6,14
2017,Bronx,7,1613,60,192,6,15
2017,Bronx,8,572,18,64,0,2
2017,Bronx,9,2626,111,289,5,13
2017,Bronx,10,1162,30,85,1,3
2017,Bronx,11,1038,44,111,1,6
2017,Bronx,12,1910,94,309,4,15
